sku,name,description,short_description,brand,sale_price,regular_price,stock,categories,tags,images
41070,"Contorno de Ojos y Labios Renewing Restore Novage+","Contorno de ojos y labios avanzado que restaura la piel, reduce arrugas y mejora la elasticidad. Formulado para combatir los signos de la edad en zonas delicadas.","Contorno Ojos y Labios Anti-edad","Novage+",13.08,38.00,50,"skincare","OFERTA, VENTA_DIRIGIDA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F41070%2F41070_1.png"
44098,"Tratamiento de Día SPF 30 Multi-Correcting Restore Novage+","Crema de día multi-correctora con SPF 30. Combate los signos del envejecimiento y protege la piel de agresores externos.","Crema Día SPF 30","Novage+",19.24,55.00,60,"skincare","OFERTA, CATALOGO_17","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F44098%2F44098_1.png"
47514,"Eau de Parfum Miss Giordani Floral","Un aroma floral sofisticado y vibrante para celebrar momentos especiales. La elegancia hecha perfume con notas de Neroli y Flores Blancas.","Perfume Floral Mujer","Giordani Gold",13.85,44.00,80,"perfume","OFERTA, NAVIDAD","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F47514%2F47514_1.png"
47502,"Eau de Parfum Mister Giordani Aqua","Fragancia acuática y refinada para el hombre moderno. Una escapada a la costa italiana con notas marinas y amaderadas.","Perfume Hombre Acuático","Giordani Gold",14.62,44.00,0,"men","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F47502%2F47502_1.png"
47499,"Eau de Toilette Elvie Midnight Magic","Magia de medianoche en una botella. Aroma misterioso y encantador para noches inolvidables.","Colonia Mujer Noche","Elvie",13.85,41.00,45,"perfume","NOVEDAD","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F47499%2F47499_1.png"
46805,"Bruma Corporal Perfumada Amber Elixir Warm Temptation","Seductora bruma corporal con notas cálidas de ámbar. Ideal para llevar siempre contigo y refrescarte durante el día.","Body Mist Ámbar","Amber Elixir",7.69,24.00,100,"perfume","NOVEDAD, BODY_MIST","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46805%2F46805_1.png"
46806,"Bruma Corporal Perfumada Possess Mythical Seduction","Bruma seductora inspirada en la leyenda de Cleopatra. Notas intensas y misteriosas de Ylang Ylang.","Body Mist Seducción","Possess",9.23,24.00,90,"perfume","NOVEDAD, BODY_MIST","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46806%2F46806_1.png"
46807,"Bruma Corporal Perfumada Giordani Gold Everlasting Glow","El resplandor dorado de Giordani Gold en una bruma ligera y sofisticada. Elegancia diaria.","Body Mist Gold","Giordani Gold",9.23,24.00,85,"perfume","NOVEDAD, BODY_MIST","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46807%2F46807_1.png"
46793,"Eau de Toilette Every Me Sweetheart Rose","Una fragancia dulce y romántica con notas de rosa para el día a día. Perfecta para espíritus jóvenes.","Colonia Rosa","Every Me",14.62,43.00,60,"perfume","OFERTA","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46793%2F46793_1.png"
47188,"Iluminador Líquido Illuskin THE ONE","Iluminador líquido versátil para un brillo natural o intenso. Mezclable y modulable con tu base de maquillaje.","Iluminador Líquido","The ONE",8.46,20.00,50,"makeup","NOVEDAD","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F47188%2F47188_1.png"
46137,"BB Cream Beautifier MAX SPF 15 THE ONE","BB Cream multifuncional que hidrata, corrige y protege. Acabado natural y ligero para uso diario.","BB Cream SPF 15","The ONE",5.77,17.00,60,"makeup","NOVEDAD","https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2FProducts%2F46137%2F46137_1.png"
